English	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian
Bridges in Physics	Brücken in der Physik	物理学への架け橋	物理之桥	Pontoj en Fiziko	भौतिकी में सेतु	భౌతిక శాస్త్రంలో వారధులు	ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿನ ಸೇತುವೆಗಳು	Fizikte Köprüler	Sillad füüsikas	Mostovi u fizici	물리학의 가교	Sillat fysiikassa	Hidak a fizikában	Мостове във физиката
quantum world	Quantenwelt	量子世界	量子世界	kvantuma mondo	क्वांटम दुनिया	క్వాంటం ప్రపంచం	ಕ್ವಾಂಟಮ್ ಪ್ರಪಂಚ	kuantum dünyası	kvantmaailm	kvantni svet	양자 세계	kvanttimaailma	kvantumvilág	квантов свят
physics	Physik	物理学	物理学	fiziko	भौतिकी	భౌతిక శాస్త్రం	ಭೌತಶಾಸ್ತ್ರ	fizik	füüsika	fizika	물리학	fysiikka	fizika	физика
theoretical physicist	theoretischer Physiker	理論物理学者	理论物理学家	teoria fizikisto	सैद्धांतिक भौतिक विज्ञानी	సిద్ధాంత భౌతిక శాస్త్రవేత్త	ಸಿದ್ಧಾಂತ ಭೌತವಿಜ್ಞಾನಿ	teorik fizikçi	teoreetiline füüsik	teoretički fizičar	이론 물리학자	teoreettinen fyysikko	elméleti fizikus	теоретичен физик
experimental physicist	Experimentalphysiker	実験物理学者	实验物理学家	eksperimenta fizikisto	प्रायोगिक भौतिक विज्ञानी	ప్రయోగాత్మక భౌతిక శాస్త్రవేత్త	ಪ್ರಾಯೋಗಿಕ ಭೌತವಿಜ್ಞಾನಿ	deneysel fizikçi	eksperimentaalne füüsik	eksperimentalni fizičar	실험 물리학자	kokeellinen fyysikko	kísérleti fizikus	експериментален физик
Luc	Luc	リュック	卢克	Luc	ल्यूक	ల్యూక్	ಲ್ಯೂಕ್	Luc	Luc	Luc	뤽	Luc	Luc	Luc
Camille	Camille	カミーユ	卡米尔	Camille	कमिल	కమిల్	ಕಮಿಲ್	Camille	Camille	Camille	카밀	Camille	Camille	Camille
particles	Teilchen	粒子	粒子	partikloj	कण	కణాలు	ಕಣಗಳು	parçacıklar	osakesed	čestice	입자들	hiukkaset	részecskék	частици
electrons	Elektronen	電子	电子	elektronoj	इलेक्ट्रॉन	ఎలక్ట్రాన్లు	ಎಲೆಕ್ಟ್ರಾನ್‌ಗಳು	elektronlar	elektronid	elektroni	전자들	elektronit	elektronok	електрони
waves	Wellen	波	波	ondoj	तरंगें	తరంగాలు	ತರಂಗಗಳು	dalgalar	lained	talasi	파동들	aallot	hullámok	вълни
wave function	Wellenfunktion	波動関数	波函数	onda funkcio	तरंग फलन	తరంగ ప్రమేయం	ತರಂಗ ಉತ್ಪನ್ನ	dalga fonksiyonu	lainefunktsioon	talasna funkcija	파동 함수	aaltofunktio	hullámfüggvény	вълнова функция
psi	Psi	プサイ (ψ)	psi (ψ)	psi	साई (psi)	ప్సై	ಪ್ಸೈ	psi	psi	psi	프사이	psi	psi	пси
probability	Wahrscheinlichkeit	確率	概率	probablo	प्रायिकता	సంభావ్యత	ಸಂಭವನೀಯತೆ	olasılık	tõenäosus	verovatnoća	확률	todennäköisyys	valószínűség	вероятност
wave	Welle	波	波	ondo	तरंग	తరంగం	ತರಂಗ	dalga	laine	talas	파동	aalto	hullám	вълна
square	Quadrat	二乗	平方	kvadrato	वर्ग	వర్గం	ವರ್ಗ	kare	ruut	kvadrat	제곱	neliö	négyzet	квадрат
amplitude	Amplitude	振幅	振幅	amplitudo	आयाम	విస్తృతి	ವ್ಯಾಪ್ತಿ	genlik	amplituud	amplituda	진폭	amplitudi	amplitūdó	амплитуда
psi squared	Psi Quadrat	プサイの二乗	psi 的平方	psi kvadrata	साई स्क्वायर (psi squared)	ప్సై వర్గం	ಪ್ಸೈ ವರ್ಗ	psi kare	psi ruut	psi na kvadrat	프사이 제곱	psi neliö	psi négyzet	пси на квадрат
Born rule	Bornsche Regel	ボルンの規則	波恩定则	regulo de Born	बोर्न नियम	బోర్న్ నియమం	ಬೋರ್ನ್ ನಿಯಮ	Born kuralı	Borni reegel	Bornovo pravilo	보른 규칙	Bornin sääntö	Born-szabály	правило на Борн
quantum mechanics	Quantenmechanik	量子力学	量子力学	kvantuma mekaniko	क्वांटम यांत्रिकी	క్వాంటం మెకానిక్స్	ಕ್ವಾಂಟಮ್ ಯಾಂತ್ರಿಕಶಾಸ್ತ್ರ	kuantum mekaniği	kvantmehaanika	kvantna mehanika	양자 역학	kvanttimekaniikka	kvantummechanika	квантова механика
double-slit experiment	Doppelspaltexperiment	二重スリット実験	双缝实验	dufenda eksperimento	डबल-स्लिट प्रयोग	ద్వి-స్లిట్ ప్రయోగం	ದ್ವಿ-ಕಂದರ ಪ್ರಯೋಗ	çift yarık deneyi	kahepilu eksperiment	eksperiment sa dva proreza	이중 슬릿 실험	kaksoiraokoe	kétrés-kísérlet	експеримент с два прореза
particle	Teilchen	粒子	粒子	partiklo	कण	కణం	ಕಣ	parçacık	osake	čestica	입자	hiukkanen	részecske	частица
fringes	Interferenzstreifen	干渉縞	条纹	franjoj	फ्रिंज	ఫ్రింజెస్	ಫ್ರಿಂಜಸ್	saçaklar	räände	pruge	간섭 무늬	interferenssiraidat	csíkok	интерференционни ивици
interference pattern	Interferenzmuster	干渉パターン	干涉图样	interferenca modelo	व्यतिकरण पैटर्न	వ్యతికరణ నమూనా	ವ್ಯತಿಕರಣ ಮಾದರಿ	girişim deseni	interferentsioonmuster	interferenciona slika	간섭 패턴	interferenssikuvio	interferenciakép	интерференчна картина
distribution	Verteilung	分布	分布	distribuo	वितरण	పంపిణీ	ವಿತರಣೆ	dağılım	jaotus	distribucija	분포	jakauma	eloszlás	разпределение
law of psi squared	Gesetz von Psi Quadrat	プサイ二乗の法則	psi 平方定律	leĝo de psi kvadrata	साई स्क्वायर का नियम	ప్సై వర్గ నియమం	ಪ್ಸೈ ವರ್ಗದ ನಿಯಮ	psi kare yasası	psi ruudu seadus	zakon psi na kvadrat	프사이 제곱의 법칙	psi neliön laki	psi négyzet törvénye	закон за пси на квадрат
experimental proof	experimenteller Beweis	実験的証明	实验证明	eksperimenta pruvo	प्रायोगिक प्रमाण	ప్రయోగాత్మక నిరూపణ	ಪ್ರಾಯೋಗಿಕ ಪುರಾವೆ	deneysel kanıt	eksperimentaalne tõend	eksperimentalni dokaz	실험적 증명	kokeellinen todistus	kísérleti bizonyíték	експериментално доказателство
conservation	Erhaltung	保存	守恒	konservado	संरक्षण	సంరక్షణ	ಸಂರಕ್ಷಣೆ	korunum	konserveerimine	zakon očuvanja	보존	säilyminen	megmaradás	запазване
total probability	Gesamtwahrscheinlichkeit	全確率	总概率	totala probablo	कुल प्रायिकता	మొత్తం సంభావ్యత	ಒಟ್ಟು ಸಂಭವನೀಯತೆ	toplam olasılık	kogu tõenäosus	ukupna verovatnoća	전체 확률	kokonaistodennäköisyys	teljes valószínűség	обща вероятност
universe	Universum	宇宙	宇宙	universumo	ब्रह्मांड	విశ్వం	ವಿಶ್ವ	evren	universum	univerzum	우주	universumi	univerzum	вселена
classical optics	klassische Optik	古典光学	经典光学	klasika optiko	शास्त्रीय प्रकाशिकी	క్లాసికల్ ఆప్టిక్స్	ಸಾಂಪ್ರದಾಯಿಕ ದೃಗ್ವಿಜ್ಞಾನ	klasik optik	klassikaline optika	klasična optika	고전 광학	klassinen optiikka	klasszikus optika	класическа оптика
energy	Energie	エネルギー	能量	energio	ऊर्जा	శక్తి	ಶಕ್ತಿ	enerji	energia	energija	에너지	energia	energia	енергия
light wave	Lichtwelle	光波	光波	lumondo	प्रकाश तरंग	కాంతి తరంగం	ಬೆಳಕಿನ ತರಂಗ	ışık dalgası	valguslaine	svetlosni talas	빛의 파동	valoaalto	fényhullám	светлинна вълна
brilliance	Brillanz	輝度	亮度	brilo	चमक	ప్రకాశం	ಪ್ರಭತ್ವ	parlaklık	hiilgus	sjaj	휘도	kirkkaus	fényerő	блясък
electric field	elektrisches Feld	電場	电场	elektra kampo	विद्युत क्षेत्र	విద్యుత్ క్షేత్రం	ವಿದ್ಯುತ್ ಕ್ಷೇತ್ರ	elektrik alanı	elektriväli	električno polje	전기장	sähkökenttä	elektromos mező	електрическо поле
probability of presence	Aufenthaltswahrscheinlichkeit	存在確率	存在概率	probablo de ĉeesto	उपस्थिति की प्रायिकता	ఉనికి యొక్క సంభావ్యత	ಇರುವಿಕೆಯ ಸಂಭವನೀಯತೆ	bulunma olasılığı	olemasolu tõenäosus	verovatnoća prisustva	존재 확률	läsnäolon todennäköisyys	megtalálási valószínűség	вероятност за присъствие
quantum particle	Quantenteilchen	量子粒子	量子粒子	kvantuma partiklo	क्वांटम कण	క్వాంటం కణం	ಕ್ವಾಂಟಮ್ ಕಣ	kuantum parçacığı	kvantosake	kvantna čestica	양자 입자	kvanttihiukkanen	kvantumrészecske	квантова частица
mathematical law	mathematisches Gesetz	数学的法則	数学定律	matematika leĝo	गणितीय नियम	గణిత నియమం	ಗಣಿತೀಯ ನಿಯಮ	matematiksel yasa	matemaatiline seadus	matematički zakon	수학적 법칙	matemaattinen laki	matematikai törvény	математически закон
spatial width	räumliche Breite	空間的幅	空间宽度	spaca larĝeco	स्थानिक चौड़ाई	స్థానీయ వెడల్పు	ಸ್ಥಳದ ಅಗಲ	uzaysal genişlik	ruumiline laius	prostorna širina	공간적 너비	avaruudellinen leveys	térbeli szélesség	пространствена ширина
lab laser	Laborlaser	実験室用レーザー	实验室激光器	laboratorieja lazero	लैब लेजर	ల్యాబ్ లేజర్	ಲ್ಯಾಬ್ ಲೇಸರ್	laboratuvar lazeri	labori laser	laboratorijski laser	실험실 레이저	laboratoriolaser	laboratóriumi lézer	лабораторен лазер
power	Leistung	出力	功率	potenco	शक्ति	సామర్థ్యం	ಸಾಮರ್ಥ್ಯ	güç	võimsus	snaga	출력	teho	teljesítmény	мощност
beam	Strahl	ビーム	光束	radiumo	बीम (किरण पुंज)	కిరణం	ಕಿರಣ	ışın	kiir	snop	빔	säde	nyaláb	лъч
parameters	Parameter	パラメータ	参数	parametroj	पैरामीटर	పారామీటర్లు	ಪ್ಯಾರಾಮೀಟರ್‌ಗಳು	parametreler	parameetrid	parametri	매개변수	parametrit	paraméterek	параметри
width	Breite	幅	宽度	larĝeco	चौड़ाई	వెడల్పు	ಅಗಲ	genişlik	laius	širina	너비	leveys	szélesség	ширина
Heisenberg uncertainty principle	Heisenbergsche Unschärferelation	ハイゼンベルクの不確定性原理	海森堡不确定性原理	Heisenberga necertenca principo	हाइजेनबर्ग अनिश्चितता सिद्धांत	హైసెన్‌బర్గ్ అనిశ్చితి సూత్రం	ಹೈಸೆನ್ಬರ್ಗ್ ಅನಿಶ್ಚಿತತಾ ತತ್ವ	Heisenberg belirsizlik ilkesi	Heisenbergi määramatuse printsiip	Hajzenbergov princip neodređenosti	하이젠베르크의 불확정성 원리	Heisenbergin epätarkkuusperiaate	Heisenberg határozatlansági elve	принцип на неопределеността на Хайзенберг
delta x	Delta x	デルタx (Δx)	delta x (Δx)	delta x	डेल्टा x	డెల్టా x	ಡೆಲ್ಟಾ x	delta x	delta x	delta x	델타 x	delta x	delta x	делта x
delta p	Delta p	デルタp (Δp)	delta p (Δp)	delta p	डेल्टा p	డెల్టా p	ಡೆಲ್ಟಾ p	delta p	delta p	delta p	델타 p	delta p	delta p	делта p
focal point	Brennpunkt	焦点	焦点	fokuspunkto	केंद्र बिंदु	నాభ్య కేంద్రం	ಕೇಂದ್ರ ಬಿಂದು	odak noktası	fookuspunkt	žarište	초점	polttopiste	fókuszpont	фокусна точка
divergence	Divergenz	発散	发散	diverĝeco	अपसरण	విచలనం	ವಿಕೇಪನ	ıraksama	divergents	divergencija	발산	divergenssi	divergencia	дивергенция
optics	Optik	光学	光学	optiko	प्रकाशिकी	ఆప్టిక్స్	ದೃಗ್ವಿಜ್ಞಾನ	optik	optika	optika	광학	optiikka	optika	оптика
Diffraction	Beugung	回折	衍射	Difrakcio	विवर्तन	వివర్తనం	ವಿವರ್ತನೆ	Kırınım	difraktsioon	Difrakcija	회절	diffraktio	diffrakció	Дифракция
resolution	Auflösung	解像度	分辨率	rezolucio	रिज़ॉल्यूशन (विभेदन क्षमता)	రెజల్యూషన్ (స్పష్టత)	ರೆಸಲ್ಯೂಶನ್	çözünürlük	erilahuvõime	rezolucija	해상도	resoluutio	felbontás	разделителна способност
microscopes	Mikroskope	顕微鏡	显微镜	mikroskopoj	सूक्ष्मदर्शी	సూక్ష్మదర్శినులు	ಸೂಕ್ಷ್ಮದರ್ಶಕಗಳು	mikroskoplar	mikroskoopid	mikroskopi	현미경들	mikroskoopit	mikroszkópok	микроскопи
Abbe limit	Abbe-Limit	アベ限界	阿贝极限	limo de Abbe	एबे सीमा	అబ్బె పరిమితి	ಅಬೆ ಮಿತಿ	Abbe limiti	Abbe piir	Abov limit	아베 한계	Abben raja	Abbe-határ	граница на Абе
wavelength	Wellenlänge	波長	波长	ondlongo	तरंग दैर्ध्य	తరంగ దైర్ఘ్యం	ತರಂಗಾಂತರ	dalga boyu	lainepikkus	talasna dužina	파장	aallonpituus	hullámhossz	дължина на вълната
lambda	Lambda	ラムダ (λ)	lambda (λ)	lambda	लैम्ब्डा	లాంబ్డా	ಲ್ಯಾಂಬ್ಡಾ	lambda	lambda	lambda	람다	lambda	lambda	ламбда
evanescent waves	evaneszente Wellen	エバネッセント波	消逝波	evanescentaj ondoj	इवनेसेंट तरंगें	ఎవనసెంట్ తరంగాలు	ಎವನೆಸೆಂಟ್ ತರಂಗಗಳು	sönümlenen dalgalar	evanesentsed lained	evanescentni talasi	소멸파	evanesenssiaallot	evanescens hullámok	еванесцентни вълни
microscope lens	Mikroskopobjektiv	顕微鏡レンズ	显微镜镜头	mikroskopa lenso	सूक्ष्मदर्शी लेंस	సూక్ష్మదర్శిని లెన్స్	ಸೂಕ್ಷ್ಮದರ್ಶಕದ ದಿಕ್ಪಟ	mikroskop lensi	mikroskoobi lääts	mikroskopska sočiva	현미경 렌즈	mikroskooppilinssi	mikroszkóplencse	микроскопна леща
physicists	Physiker	物理学者	物理学家	fizikistoj	भौतिक विज्ञानी	భౌతిక శాస్త్రవేత్తలు	ಭೌತವಿಜ್ಞಾನಿಗಳು	fizikçiler	füüsikud	fizičari	물리학자들	fyysikot	fizikusok	физици
near-field microscope	Nahfeldmikroskop	近接場顕微鏡	近场显微镜	proksima-kampa mikroskopo	निकट-क्षेत्र सूक्ष्मदर्शी	నియర్-ఫీల్డ్ మైక్రోస్కోప్	ನಿಯರ್-ಫೀಲ್ಡ್ ಸೂಕ್ಷ್ಮದರ್ಶಕ	yakın alan mikroskobu	lähivälja mikroskoop	mikroskop bliskog polja	근접장 현미경	lähikenttämikroskooppi	közeltéri mikroszkóp	близкополен микроскоп
NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM	NSOM
ultra-fine tip	ultrafeine Spitze	超微細チップ	超细探针	ultrafina pinto	अति-सूक्ष्म टिप	అల్ట్రా-ఫైన్ టిప్	ಅತಿಸೂಕ್ಷ್ಮ ತುದಿ	ultra ince uç	ultraväike otsik	ultrafini vrh	초미세 팁	erittäin hieno kärki	ultravékony hegy	ултрафина върхова част
super-resolution	Superauflösung	超解像	超分辨率	super-rezolucio	सुपर-रिज़ॉल्यूशन	సూపర్-రెజల్యూషన్	ಸೂಪರ್-ರೆಸಲ್ಯೂಶನ್	süper çözünürlük	supererilahuvõime	super-rezolucija	초해상도	superresoluutio	szuperfelbontás	супер-разделителна способност
quantum wave function	Quantenwellenfunktion	量子波動関数	量子波函数	kvantuma onda funkcio	क्वांटम तरंग फलन	క్వాంటం తరంగ ప్రమేయం	ಕ್ವಾಂಟಮ್ ತರಂಗ ಉತ್ಪನ್ನ	kuantum dalga fonksiyonu	kvantlainefunktsioon	kvantna talasna funkcija	양자 파동 함수	kvanttiaaltofunktio	kvantum hullámfüggvény	квантова вълнова функция
probability wave	Wahrscheinlichkeitswelle	確率波	概率波	probabla ondo	प्रायिकता तरंग	సంభావ్యత తరంగం	ಸಂಭವನೀಯತೆ ತರಂಗ	olasılık dalgası	tõenäosuslaine	talas verovatnoće	확률 파동	todennäköisyysaalto	valószínűséghullám	вълна на вероятността
square amplitude	Quadrat der Amplitude	振幅の二乗	振幅平方	kvadrata amplitudo	वर्ग आयाम	వర్గ విస్తృతి	ವರ್ಗ ವ್ಯಾಪ್ತಿ	genlik karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdónégyzet	квадрат на амплитудата
classical waves	klassische Wellen	古典的な波	经典波	klasikaj ondoj	शास्त्रीय तरंगें	క్లాసికల్ తరంగాలు	ಸಾಂಪ್ರದಾಯಿಕ ತರಂಗಗಳು	klasik dalgalar	klassikalised lained	klasični talasi	고전적 파동	klassiset aallot	klasszikus hullámok	класически вълни
uncertainty principle	Unschärferelation	不確定性原理	不确定性原理	necertenca principo	अनिश्चितता सिद्धांत	అనిశ్చితి సూత్రం	ಅನಿಶ್ಚಿತತಾ ತತ್ವ	belirsizlik ilkesi	määramatuse printsiip	princip neodređenosti	불확정성 원리	epätarkkuusperiaate	határozatlansági elv	принцип на неопределеността
diffraction	Beugung	回折	衍射	difrakcio	विवर्तन	వివర్తనం	ವಿವರ್ತನೆ	kırınım	difraktsioon	difrakcija	회절	diffraktio	diffrakció	дифракция
resolution limit	Auflösungsgrenze	解像度限界	分辨率极限	rezolucia limo	रिज़ॉल्यूशन सीमा	రెజల్యూషన్ పరిమితి	ರೆಸಲ್ಯೂಶನ್ ಮಿತಿ	çözünürlük limiti	erilahuvõime piir	limit rezolucije	해상도 한계	resoluution raja	felbontási határérték	граница на разделителната способност
quantum reality	Quantenrealität	量子的現実	量子现实	kvantuma realeco	क्वांटम वास्तविकता	క్వాంటం వాస్తవికత	ಕ್ವಾಂಟಮ್ ವಾಸ್ತವ	kuantum gerçekliği	kvantreaalsus	kvantna stvarnost	양자 실재	kvanttitodellisuus	kvantumvalóság	квантова реалност
microscope	Mikroskop	顕微鏡	显微镜	mikroskopo	सूक्ष्मदर्शी	సూక్ష్మదర్శిని	ಸೂಕ್ಷ್ಮದರ್ಶಕ	mikroskop	mikroskoop	mikroskop	현미경	mikroskooppi	mikroszkóp	микроскоп
laws of waves	Wellengesetze	波の法則	波动定律	leĝoj de ondoj	तरंगों के नियम	తరంగాల నియమాలు	ತರಂಗಗಳ ನಿಯಮಗಳು	dalga yasaları	lainete seadused	zakoni talasa	파동의 법칙	aaltolait	hullámtörvények	закони на вълните
classical mechanics	klassische Mechanik	古典力学	经典力学	klasika mekaniko	शास्त्रीय यांत्रिकी	క్లాసికల్ మెకానిక్స్	ಸಾಂಪ್ರದಾಯಿಕ ಯಾಂತ್ರಿಕಶಾಸ್ತ್ರ	klasik mekanik	klassikaline mehaanika	klasična mehanika	고전 역학	klassinen mekaniikka	klasszikus mechanika	класическа механика
square of the amplitude	Quadrat der Amplitude	振幅の二乗	振幅的平方	kvadrato de la amplitudo	आयाम का वर्ग	విస్తృతి యొక్క వర్గం	ವ್ಯಾಪ್ತಿಯ ವರ್ಗ	genliğin karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdó négyzete	квадрат на амплитудата
physical quantity	physikalische Größe	物理量	物理量	fizika kvantumo	भौतिक राशि	భౌతిక రాశి	ಭೌತಿಕ ಪ್ರಮಾಣ	fiziksel nicelik	füüsikaline suurus	fizička veličina	물리량	fyysinen suure	fizikai mennyiség	физична величина
